Country,LastUpdate,City List
French Guiana,"""2006-02-14T23:14:00.000Z""",Cayenne
French Polynesia,"""2006-02-14T23:14:00.000Z""","Faaa, Papeete"
Gambia,"""2006-02-14T23:14:00.000Z""",Banjul
Germany,"""2006-02-14T23:14:00.000Z""","Duisburg, Erlangen, Halle/Saale, Mannheim, Saarbrcken, Siegen, Witten"
Greece,"""2006-02-14T23:14:00.000Z""","Athenai, Patras"
Greenland,"""2006-02-14T23:14:00.000Z""",Nuuk
Holy See (Vatican City State),"""2006-02-14T23:14:00.000Z""",Citt del Vaticano
Hong Kong,"""2006-02-14T23:14:00.000Z""",Kowloon and New Kowloon
Hungary,"""2006-02-14T23:14:00.000Z""",Szkesfehrvr
India,"""2006-02-14T23:14:00.000Z""","Adoni, Ahmadnagar, Allappuzha (Alleppey), Ambattur, Amroha, Balurghat, Berhampore (Baharampur), Bhavnagar, Bhilwara, Bhimavaram, Bhopal, Bhusawal, Bijapur, Chandrapur, Chapra, Dhule (Dhulia), Etawah, Firozabad, Gandhinagar, Gulbarga, Haldia, Halisahar, Hoshiarpur, Hubli-Dharwad, Jaipur"
Indonesia,"""2006-02-14T23:14:00.000Z""","Cianjur, Ciomas, Ciparay, Gorontalo, Jakarta, Lhokseumawe, Madiun, Pangkal Pinang, Pemalang, Pontianak, Probolinggo, Purwakarta, Surakarta, Tegal"
Iran,"""2006-02-14T23:14:00.000Z""","Arak, Esfahan, Kermanshah, Najafabad, Qomsheh, Shahr-e Kord, Sirjan, Tabriz"
Iraq,"""2006-02-14T23:14:00.000Z""",Mosul
Israel,"""2006-02-14T23:14:00.000Z""","Ashdod, Ashqelon, Bat Yam, Tel Aviv-Jaffa"
Italy,"""2006-02-14T23:14:00.000Z""","Alessandria, Bergamo, Brescia, Brindisi, Livorno, Syrakusa, Udine"
Japan,"""2006-02-14T23:14:00.000Z""","Akishima, Fukuyama, Higashiosaka, Hino, Hiroshima, Isesaki, Iwaki, Iwakuni, Iwatsuki, Izumisano, Kakamigahara, Kamakura, Kanazawa, Koriyama, Kurashiki, Kuwana, Matsue, Miyakonojo, Nagareyama, Okayama, Okinawa, Omiya, Onomichi, Otsu, Sagamihara"
Kazakstan,"""2006-02-14T23:14:00.000Z""","Pavlodar, Zhezqazghan"
Kenya,"""2006-02-14T23:14:00.000Z""","Kisumu, Nyeri"
Kuwait,"""2006-02-14T23:14:00.000Z""",Jalib al-Shuyukh
Latvia,"""2006-02-14T23:14:00.000Z""","Daugavpils, Liepaja"
Liechtenstein,"""2006-02-14T23:14:00.000Z""",Vaduz
Lithuania,"""2006-02-14T23:14:00.000Z""",Vilnius
Madagascar,"""2006-02-14T23:14:00.000Z""",Mahajanga
Malawi,"""2006-02-14T23:14:00.000Z""",Lilongwe
Malaysia,"""2006-02-14T23:14:00.000Z""","Ipoh, Kuching, Sungai Petani"
Mexico,"""2006-02-14T23:14:00.000Z""","Acua, Allende, Atlixco, Carmen, Celaya, Coacalco de Berriozbal, Coatzacoalcos, Cuauhtmoc, Cuautla, Cuernavaca, El Fuerte, Guadalajara, Hidalgo, Huejutla de Reyes, Huixquilucan, Jos Azueta, Jurez, La Paz, Matamoros, Mexicali, Monclova, Nezahualcyotl, Pachuca de Soto, Salamanca, San Felipe del Progreso"
Moldova,"""2006-02-14T23:14:00.000Z""",Chisinau
Morocco,"""2006-02-14T23:14:00.000Z""","Beni-Mellal, Nador, Sal"
Mozambique,"""2006-02-14T23:14:00.000Z""","Beira, Naala-Porto, Tete"
Myanmar,"""2006-02-14T23:14:00.000Z""","Monywa, Myingyan"
Nauru,"""2006-02-14T23:14:00.000Z""",Yangor
Nepal,"""2006-02-14T23:14:00.000Z""",Birgunj
Netherlands,"""2006-02-14T23:14:00.000Z""","Amersfoort, Apeldoorn, Ede, Emmen, s-Hertogenbosch"
New Zealand,"""2006-02-14T23:14:00.000Z""",Hamilton
Nigeria,"""2006-02-14T23:14:00.000Z""","Benin City, Deba Habe, Effon-Alaiye, Ife, Ikerre, Ilorin, Kaduna, Ogbomosho, Ondo, Owo, Oyo, Sokoto, Zaria"
North Korea,"""2006-02-14T23:14:00.000Z""",Pyongyang
Oman,"""2006-02-14T23:14:00.000Z""","Masqat, Salala"
Pakistan,"""2006-02-14T23:14:00.000Z""","Dadu, Mandi Bahauddin, Mardan, Okara, Shikarpur"
Paraguay,"""2006-02-14T23:14:00.000Z""","Asuncin, Ciudad del Este, San Lorenzo"
Peru,"""2006-02-14T23:14:00.000Z""","Callao, Hunuco, Lima, Sullana"
Philippines,"""2006-02-14T23:14:00.000Z""","Baybay, Bayugan, Bislig, Cabuyao, Cavite, Davao, Gingoog, Hagonoy, Iligan, Imus, Lapu-Lapu, Mandaluyong, Ozamis, Santa Rosa, Taguig, Talavera, Tanauan, Tanza, Tarlac, Tuguegarao"
Poland,"""2006-02-14T23:14:00.000Z""","Bydgoszcz, Czestochowa, Jastrzebie-Zdrj, Kalisz, Lublin, Plock, Tychy, Wroclaw"
Puerto Rico,"""2006-02-14T23:14:00.000Z""","Arecibo, Ponce"
Romania,"""2006-02-14T23:14:00.000Z""","Botosani, Bucuresti"
Runion,"""2006-02-14T23:14:00.000Z""",Saint-Denis
Russian Federation,"""2006-02-14T23:14:00.000Z""","Atinsk, Balaiha, Dzerzinsk, Elista, Ivanovo, Jaroslavl, Jelets, Kaliningrad, Kamyin, Kirovo-Tepetsk, Kolpino, Korolev, Kurgan, Kursk, Lipetsk, Ljubertsy, Maikop, Moscow, Nabereznyje Telny, Niznekamsk, Novoterkassk, Pjatigorsk, Serpuhov, Smolensk, Syktyvkar"
Saint Vincent and the Grenadines,"""2006-02-14T23:14:00.000Z""",Kingstown
Saudi Arabia,"""2006-02-14T23:14:00.000Z""","Abha, al-Hawiya, al-Qatif, Jedda, Tabuk"
Senegal,"""2006-02-14T23:14:00.000Z""",Ziguinchor
Slovakia,"""2006-02-14T23:14:00.000Z""",Bratislava
South Africa,"""2006-02-14T23:14:00.000Z""","Boksburg, Botshabelo, Chatsworth, Johannesburg, Kimberley, Klerksdorp, Newcastle, Paarl, Rustenburg, Soshanguve, Springs"
South Korea,"""2006-02-14T23:14:00.000Z""","Cheju, Kimchon, Naju, Tonghae, Uijongbu"
Spain,"""2006-02-14T23:14:00.000Z""","A Corua (La Corua), Donostia-San Sebastin, Gijn, Ourense (Orense), Santiago de Compostela"
Sri Lanka,"""2006-02-14T23:14:00.000Z""",Jaffna
Sudan,"""2006-02-14T23:14:00.000Z""","al-Qadarif, Omdurman"
Sweden,"""2006-02-14T23:14:00.000Z""",Malm
Switzerland,"""2006-02-14T23:14:00.000Z""","Basel, Bern, Lausanne"
Taiwan,"""2006-02-14T23:14:00.000Z""","Changhwa, Chiayi, Chungho, Fengshan, Hsichuh, Lungtan, Nantou, Tanshui, Touliu, Tsaotun"
Tanzania,"""2006-02-14T23:14:00.000Z""","Mwanza, Tabora, Zanzibar"
Thailand,"""2006-02-14T23:14:00.000Z""","Nakhon Sawan, Pak Kret, Songkhla"
Tonga,"""2006-02-14T23:14:00.000Z""",Nukualofa
Tunisia,"""2006-02-14T23:14:00.000Z""",Sousse
Turkey,"""2006-02-14T23:14:00.000Z""","Adana, Balikesir, Batman, Denizli, Eskisehir, Gaziantep, Inegl, Kilis, Ktahya, Osmaniye, Sivas, Sultanbeyli, Tarsus, Tokat, Usak"
Turkmenistan,"""2006-02-14T23:14:00.000Z""",Ashgabat
Tuvalu,"""2006-02-14T23:14:00.000Z""",Funafuti
Ukraine,"""2006-02-14T23:14:00.000Z""","Kamjanets-Podilskyi, Konotop, Mukateve, ostka, Simferopol, Sumy"
United Arab Emirates,"""2006-02-14T23:14:00.000Z""","Abu Dhabi, al-Ayn, Sharja"
United Kingdom,"""2006-02-14T23:14:00.000Z""","Bradford, Dundee, London, Southampton, Southend-on-Sea, Southport, Stockport, York"
United States,"""2006-02-14T23:14:00.000Z""","Akron, Arlington, Augusta-Richmond County, Aurora, Bellevue, Brockton, Cape Coral, Citrus Heights, Clarksville, Compton, Dallas, Dayton, El Monte, Fontana, Garden Grove, Garland, Grand Prairie, Greensboro, Joliet, Kansas City, Lancaster, Laredo, Lincoln, Manchester, Memphis"
Venezuela,"""2006-02-14T23:14:00.000Z""","Barcelona, Caracas, Cuman, Maracabo, Ocumare del Tuy, Valencia, Valle de la Pascua"
Vietnam,"""2006-02-14T23:14:00.000Z""","Cam Ranh, Haiphong, Hanoi, Nam Dinh, Nha Trang, Vinh"
"Virgin Islands, U.S.","""2006-02-14T23:14:00.000Z""",Charlotte Amalie
Yemen,"""2006-02-14T23:14:00.000Z""","Aden, Hodeida, Sanaa, Taizz"
Yugoslavia,"""2006-02-14T23:14:00.000Z""","Kragujevac, Novi Sad"
Zambia,"""2006-02-14T23:14:00.000Z""",Kitwe
