Country,LastUpdate,City List
Mozambique,2006-02-15 04:44:00,"Beira, Naala-Porto, Tete"
Myanmar,2006-02-15 04:44:00,"Monywa, Myingyan"
Nauru,2006-02-15 04:44:00,Yangor
Nepal,2006-02-15 04:44:00,Birgunj
Netherlands,2006-02-15 04:44:00,"Amersfoort, Apeldoorn, Ede, Emmen, s-Hertogenbosch"
New Zealand,2006-02-15 04:44:00,Hamilton
Nigeria,2006-02-15 04:44:00,"Benin City, Deba Habe, Effon-Alaiye, Ife, Ikerre, Ilorin, Kaduna, Ogbomosho, Ondo, Owo, Oyo, Sokoto, Zaria"
North Korea,2006-02-15 04:44:00,Pyongyang
Oman,2006-02-15 04:44:00,"Masqat, Salala"
Pakistan,2006-02-15 04:44:00,"Dadu, Mandi Bahauddin, Mardan, Okara, Shikarpur"
Paraguay,2006-02-15 04:44:00,"Asuncin, Ciudad del Este, San Lorenzo"
Peru,2006-02-15 04:44:00,"Callao, Hunuco, Lima, Sullana"
Philippines,2006-02-15 04:44:00,"Baybay, Bayugan, Bislig, Cabuyao, Cavite, Davao, Gingoog, Hagonoy, Iligan, Imus, Lapu-Lapu, Mandaluyong, Ozamis, Santa Rosa, Taguig, Talavera, Tanauan, Tanza, Tarlac, Tuguegarao"
Poland,2006-02-15 04:44:00,"Bydgoszcz, Czestochowa, Jastrzebie-Zdrj, Kalisz, Lublin, Plock, Tychy, Wroclaw"
Puerto Rico,2006-02-15 04:44:00,"Arecibo, Ponce"
Romania,2006-02-15 04:44:00,"Botosani, Bucuresti"
Runion,2006-02-15 04:44:00,Saint-Denis
Russian Federation,2006-02-15 04:44:00,"Atinsk, Balaiha, Dzerzinsk, Elista, Ivanovo, Jaroslavl, Jelets, Kaliningrad, Kamyin, Kirovo-Tepetsk, Kolpino, Korolev, Kurgan, Kursk, Lipetsk, Ljubertsy, Maikop, Moscow, Nabereznyje Telny, Niznekamsk, Novoterkassk, Pjatigorsk, Serpuhov, Smolensk, Syktyvkar"
Saint Vincent and the Grenadines,2006-02-15 04:44:00,Kingstown
Saudi Arabia,2006-02-15 04:44:00,"Abha, al-Hawiya, al-Qatif, Jedda, Tabuk"
Senegal,2006-02-15 04:44:00,Ziguinchor
Slovakia,2006-02-15 04:44:00,Bratislava
South Africa,2006-02-15 04:44:00,"Boksburg, Botshabelo, Chatsworth, Johannesburg, Kimberley, Klerksdorp, Newcastle, Paarl, Rustenburg, Soshanguve, Springs"
South Korea,2006-02-15 04:44:00,"Cheju, Kimchon, Naju, Tonghae, Uijongbu"
Spain,2006-02-15 04:44:00,"A Corua (La Corua), Donostia-San Sebastin, Gijn, Ourense (Orense), Santiago de Compostela"
Sri Lanka,2006-02-15 04:44:00,Jaffna
Sudan,2006-02-15 04:44:00,"al-Qadarif, Omdurman"
Sweden,2006-02-15 04:44:00,Malm
Switzerland,2006-02-15 04:44:00,"Basel, Bern, Lausanne"
Taiwan,2006-02-15 04:44:00,"Changhwa, Chiayi, Chungho, Fengshan, Hsichuh, Lungtan, Nantou, Tanshui, Touliu, Tsaotun"
Tanzania,2006-02-15 04:44:00,"Mwanza, Tabora, Zanzibar"
Thailand,2006-02-15 04:44:00,"Nakhon Sawan, Pak Kret, Songkhla"
Tonga,2006-02-15 04:44:00,Nukualofa
Tunisia,2006-02-15 04:44:00,Sousse
Turkey,2006-02-15 04:44:00,"Adana, Balikesir, Batman, Denizli, Eskisehir, Gaziantep, Inegl, Kilis, Ktahya, Osmaniye, Sivas, Sultanbeyli, Tarsus, Tokat, Usak"
Turkmenistan,2006-02-15 04:44:00,Ashgabat
Tuvalu,2006-02-15 04:44:00,Funafuti
Ukraine,2006-02-15 04:44:00,"Kamjanets-Podilskyi, Konotop, Mukateve, ostka, Simferopol, Sumy"
United Arab Emirates,2006-02-15 04:44:00,"Abu Dhabi, al-Ayn, Sharja"
United Kingdom,2006-02-15 04:44:00,"Bradford, Dundee, London, Southampton, Southend-on-Sea, Southport, Stockport, York"
United States,2006-02-15 04:44:00,"Akron, Arlington, Augusta-Richmond County, Aurora, Bellevue, Brockton, Cape Coral, Citrus Heights, Clarksville, Compton, Dallas, Dayton, El Monte, Fontana, Garden Grove, Garland, Grand Prairie, Greensboro, Joliet, Kansas City, Lancaster, Laredo, Lincoln, Manchester, Memphis"
Venezuela,2006-02-15 04:44:00,"Barcelona, Caracas, Cuman, Maracabo, Ocumare del Tuy, Valencia, Valle de la Pascua"
Vietnam,2006-02-15 04:44:00,"Cam Ranh, Haiphong, Hanoi, Nam Dinh, Nha Trang, Vinh"
"Virgin Islands, U.S.",2006-02-15 04:44:00,Charlotte Amalie
Yemen,2006-02-15 04:44:00,"Aden, Hodeida, Sanaa, Taizz"
Yugoslavia,2006-02-15 04:44:00,"Kragujevac, Novi Sad"
Zambia,2006-02-15 04:44:00,Kitwe
